#,Serie de manga,Autor(es),Editor,Categoría,Volúmenes,Serializado,Ventas aproximadas en millones
1,One Piece(manga),Eiichirō Oda,Shueisha,Shōnen,105,1997-presente,516
2,Golgo 13(manga),"Takao Saito, Saito Productions",Shogakukan,Seinen,207,1968-presente,300
3,Detective Conan(manga),Gosho Aoyama,Shogakukan,Shōnen,102,1994-presente,270
4,Dragon Ball(manga),Akira Toriyama,Shueisha,Shōnen,42,1984-1995,260
5,Naruto(manga),Masashi Kishimoto,Shueisha,Shōnen,72,1999-2014,250
6,Black Jack(manga),Osamu Tezuka,Akita Shoten,Shōnen,25,1973-1983,176
7,Slam Dunk(manga),Takehiko Inoue,Shueisha,Shōnen,31,1990-1996,170
8,Kochikame(manga),Osamu Akimoto,Shueisha,Shōnen,201,1976-2016,156
9,Kimetsu no Yaiba(manga),Koyoharu Gotouge,Shueisha,Shōnen,23,2016-2020,150
10,Crayon Shin-chan(manga),"Yoshito Usui, UY Team",Futabasha,Seinen,61,1990-presente,148
11,Oishinbo(manga),"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983-2014,135
12,Bleach(manga),Tite Kubo,Shueisha,Shōnen,74,2001-2016,130
13,JoJo's Bizarre Adventure(manga),Hirohiko Araki,Shueisha,"Shōnen,Seinen",131,1987-presente,120
14,Shingeki no Kyojin(manga),Hajime Isayama,Kodansha,Shōnen,34,2009-2021,110
15,The Kindaichi Case Files(manga),"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,"Shōnen,Seinen",90,1992-presente,100
16,Hokuto no Ken(manga),"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983-1988,100
17,Touch(manga),Mitsuro Adachi,Shogakukan,Shōnen,26,1981-1986,100
18,Doraemon(manga),Fujiko F. Fujio,Shogakukan,Kodomo,45,1970-1996,100
19,Astroboy(manga),Osamu Tezuka,Kodansha,Shōnen,23,1952-1968,100
